CRDS_GOSSIP_NUM_ACTIVE,CRDS_GOSSIP_PUSH_FANOUT,CRDS_GOSSIP_PUSH_MSG_TIMEOUT_MS,CRDS_GOSSIP_PRUNE_MSG_TIMEOUT_MS,CRDS_GOSSIP_PRUNE_STAKE_THRESHOLD_PCT,CRDS_GOSSIP_PRUNE_MIN_INGRESS_NODES,PUSH_ACTIVE_TIMEOUT_MS,MAX_PUSHED_TO_TIMEOUT_MS,RECV_BATCH_MAX_CPU,RECV_BATCH_MAX_GPU,FORWARD_TRANSACTIONS_TO_LEADER_AT_SLOT_OFFSET,NUM_THREADS,TOTAL_BUFFERED_PACKETS,MAX_NUM_TRANSACTIONS_PER_BATCH,LARGEST_CONFIRMED_ROOT_UPLOAD_DELAY,NUM_INSERT_THREADS,RECEIVE_ENTRY_COUNT_THRESHOLD,NUM_BAD_SLOTS,SLOT_TO_RESOLVE,BROADCAST_PEER_UPDATE_INTERVAL_MS,DATA_PLANE_FANOUT,GOSSIP_SLEEP_MILLIS,MAX_CRDS_OBJECT_SIZE,MAX_PROTOCOL_HEADER_SIZE,MAX_SNAPSHOT_HASHES,GOSSIP_PING_CACHE_CAPACITY,GOSSIP_PING_CACHE_TTL,VOTE_THRESHOLD_DEPTH,SWITCH_FORK_THRESHOLD,CRDS_GOSSIP_DEFAULT_BLOOM_ITEMS,CRDS_GOSSIP_PULL_CRDS_TIMEOUT_MS,CRDS_GOSSIP_PULL_MSG_TIMEOUT_MS,FAILED_INSERTS_RETENTION_MS,DEFAULT_MAX_LEDGER_SHREDS,DEFAULT_MIN_MAX_LEDGER_SHREDS,DEFAULT_PURGE_SLOT_INTERVAL,GRACE_TICKS_FACTOR,MAX_GRACE_SLOTS,MAX_ENTRY_RECV_PER_ITER,SUPERMINORITY_THRESHOLD,MAX_UNCONFIRMED_SLOTS,NUM_PACKETS,PACKETS_PER_BATCH,INTERVAL_MS,SHRUNKEN_ACCOUNT_PER_SEC,CLEAN_INTERVAL_BLOCKS,PAGE_SIZE,DEFAULT_NUM_THREADS,DEFAULT_NUM_DIRS,ITER_BATCH_SIZE,MAX_LEADER_SCHEDULE_STAKES,VOTE_THRESHOLD_SIZE,BOOTSTRAP_VALIDATOR_LAMPORTS,MAX_STREAM_SIZE,NUM_BLOCKHASH_CONFIRMATIONS,MIN_LEADER_SLOT_PCT,NUM_BLOCKS_TO_UPLOAD_IN_PARALLEL,MAX_COMPLETED_SLOTS_IN_CHANNEL,MAX_TURBINE_PROPAGATION_IN_MS,MAX_DATA_SHREDS_PER_SLOT,SIGN_SHRED_GPU_MIN,MAX_SCHEDULES,DEFAULT_HEAP_SIZE,DEFAULT_TICKS_PER_SECOND,DEFAULT_TICKS_PER_SLOT,DEFAULT_HASHES_PER_SECOND,DEFAULT_DEV_SLOTS_PER_EPOCH,DEFAULT_TARGET_LAMPORTS_PER_SIGNATURE,NUM_CONSECUTIVE_LEADER_SLOTS,MAX_HASH_AGE_IN_SECONDS,MAX_TRANSACTION_FORWARDING_DELAY_GPU,MAX_TRANSACTION_FORWARDING_DELAY,MAX_LEADER_SCHEDULE_EPOCH_OFFSET,MINIMUM_SLOTS_PER_EPOCH,DEFAULT_LAMPORTS_PER_BYTE_YEAR,DEFAULT_EXEMPTION_THRESHOLD,DEFAULT_BURN_PERCENT,ACCOUNT_STORAGE_OVERHEAD,SLOT_MAX_ENTRIES,STAKE_HISTORY_MAX_ENTRIES,SLOT_HISTORY_MAX_ENTRIES,RECENT_BLOCKHASHES_MAX_ENTRIES,DEFAULT_INITIAL,DEFAULT_TERMINAL,DEFAULT_TAPER,DEFAULT_FOUNDATION,DEFAULT_FOUNDATION_TERM,PBKDF2_ROUNDS,PBKDF2_BYTES,AVG_TPS,DROPRATE
29,6,30000,450,0.15,3,60000,50000,1000,5000,1,4,500000,110,90,2,9,9,30,800,200,102,928,214,14,16384,600,8,0.4,500,15000,60000,20000,200000000,50000000,512,2,2,510,0.3333333,5,8192,256,100,250,100,4096,8,4,1000,5,0.6666667,42,3422552064,3,80.0,32,100000,100,32768,256,10,32768,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,21300.781,0.6
28,5,29045,436,0.14981528497775595,3,64897,50736,1090,5220,1,3,524338,105,95,1,9,8,32,722,199,102,993,232,14,15620,609,7,0.40970175240309564,460,14499,61582,21660,210743118,53237801,518,1,1,502,0.35924357329822243,5,8043,260,104,269,103,3827,7,4,1052,4,0.6063048424908906,39,3196534583,2,77.37053593985786,31,92004,96,33403,263,9,34809,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22722.205,0.58
31,6,29662,436,0.14050605773243105,2,54965,47841,940,4572,1,4,466749,100,83,1,9,8,30,843,192,107,900,221,15,15585,656,8,0.38294085907297376,465,16012,65548,20397,180137187,46934954,528,1,2,492,0.3054900951698185,4,7461,243,95,239,96,4324,8,4,1057,5,0.6380496278700978,42,3140337168,2,75.18219899645607,33,99152,108,35968,259,9,31394,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,18666.191,0.6
26,6,31500,455,0.14850896803068134,3,60213,51265,1085,4932,1,3,457433,118,96,1,9,8,32,775,202,111,881,208,13,17917,602,7,0.37664322225432995,497,13884,62091,20324,217222668,48658476,499,2,1,509,0.36432718069476605,4,7667,254,109,243,103,4354,8,4,1072,5,0.6791000722589204,39,3604571258,2,83.45446743884976,34,99174,96,32127,239,10,33702,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22569.836,0.61
28,5,29308,469,0.1528193608176948,3,58004,49528,1057,5055,1,4,485381,110,93,1,9,8,32,825,192,100,850,220,13,16900,639,8,0.4274700855442813,455,13673,63620,18167,199700395,49736517,526,2,1,540,0.30385889821229795,4,7691,243,94,271,101,3723,8,3,969,4,0.649911398082441,41,3588422368,3,73.76886670087886,34,95137,95,31203,240,9,33712,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22855.441,0.62
29,5,30904,468,0.1481779281565164,2,54653,45103,959,4633,1,4,473370,111,82,2,8,9,29,879,202,94,890,215,14,16456,609,7,0.415843771527218,502,14337,62409,20528,197011316,53661542,465,2,1,486,0.3001360837156803,5,7949,230,102,251,97,3885,7,3,927,5,0.6685479000300035,39,3458239335,2,82.60746424989102,30,103309,90,35465,234,10,34449,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,24007.502,0.58
26,6,28119,472,0.15108486987893366,2,57852,51914,1018,5236,1,4,515643,105,84,2,9,8,32,805,182,102,887,233,12,17354,572,7,0.4361777121800801,453,13517,58509,18740,219285850,46874220,494,2,2,533,0.32782034187029563,5,7400,243,103,226,95,3954,7,3,1052,4,0.6835348283146478,42,3715930419,3,73.31620608752277,31,105524,92,35653,276,9,35971,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22713.287,0.64
29,6,28017,412,0.1474043511200523,2,60836,52011,1031,5481,1,4,536111,108,81,2,9,9,30,827,200,93,927,195,13,16155,643,8,0.38522811985134725,452,14791,58274,18431,196894424,52634274,485,2,2,533,0.3515685521335271,4,7690,247,95,232,100,4422,7,3,1087,5,0.6606122308901891,43,3419878249,2,76.75080279978745,33,98292,102,32129,236,10,35026,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,23776.91,0.61
27,5,31301,445,0.15594923464634233,3,58661,47126,1029,5379,1,3,478664,103,94,1,9,9,30,853,200,105,938,215,13,15592,637,8,0.4233573509801071,507,14959,64538,21833,200757807,47081927,550,2,1,560,0.30170882197856885,4,7741,258,91,272,90,3865,7,4,905,4,0.6424938930139636,42,3671309141,3,81.1720826739523,32,102073,95,32950,268,9,30504,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22574.229,0.62
29,6,28477,412,0.15023411738019363,3,55425,47645,1060,4833,1,3,496774,112,93,2,8,9,32,767,200,99,920,201,15,16571,610,7,0.4044288563229239,530,15737,60842,19195,199727359,53666227,525,2,2,549,0.3578354682817699,4,7687,237,93,225,97,4455,8,3,963,5,0.6104854612266781,45,3705465059,2,78.74545035824087,28,99944,90,31331,239,10,35154,160,63,2000000,8192,10000,4,120,2,6,3,32,3480,2.0,50,128,512,512,1048576,150,0.08,0.015,0.15,0.05,7.0,2048,64,22330.01,0.63
